Rank,Candidate ID,Score,Skill Coverage
1,CAND_0005322,0.6250,2
2,CAND_0008592,0.6250,2
3,CAND_0010034,0.6250,2
4,CAND_0020155,0.6250,2
5,CAND_0038317,0.6250,2
6,CAND_0004768,0.6150,2
7,CAND_0026012,0.6150,2
8,CAND_0018241,0.6000,2
9,CAND_0022435,0.6000,2
10,CAND_0032987,0.6000,2
11,CAND_0044542,0.6000,2
12,CAND_0049321,0.6000,2
13,CAND_0026818,0.5900,2
14,CAND_0014005,0.5750,2
15,CAND_0018054,0.5750,2
16,CAND_0000427,0.5650,1
17,CAND_0001727,0.5650,1
18,CAND_0002160,0.5650,1
19,CAND_0002191,0.5650,1
20,CAND_0003630,0.5650,1
21,CAND_0005538,0.5650,1
22,CAND_0005895,0.5650,1
23,CAND_0006066,0.5650,1
24,CAND_0008918,0.5650,1
25,CAND_0014830,0.5650,1
26,CAND_0015581,0.5650,1
27,CAND_0018564,0.5650,1
28,CAND_0018722,0.5650,1
29,CAND_0020712,0.5650,1
30,CAND_0021394,0.5650,1
31,CAND_0027558,0.5650,1
32,CAND_0030061,0.5650,1
33,CAND_0031752,0.5650,1
34,CAND_0032089,0.5650,1
35,CAND_0032371,0.5650,1
36,CAND_0033541,0.5650,1
37,CAND_0033749,0.5650,1
38,CAND_0035410,0.5650,1
39,CAND_0038605,0.5650,1
40,CAND_0040097,0.5650,2
41,CAND_0040180,0.5650,1
42,CAND_0041196,0.5650,1
43,CAND_0042118,0.5650,1
44,CAND_0044843,0.5650,1
45,CAND_0048368,0.5650,1
46,CAND_0049167,0.5650,1
47,CAND_0047375,0.5600,2
48,CAND_0000016,0.5550,1
49,CAND_0000560,0.5550,1
50,CAND_0000600,0.5550,1
