Rank,Candidate ID,Score,Skill Coverage
1,CAND_0040180,0.6930,3
2,CAND_0033804,0.6880,3
3,CAND_0045078,0.6730,3
4,CAND_0013700,0.6720,2
5,CAND_0001420,0.6680,3
6,CAND_0047375,0.6680,3
7,CAND_0026602,0.6630,3
8,CAND_0003189,0.6580,3
9,CAND_0007524,0.6580,3
10,CAND_0020458,0.6580,3
11,CAND_0012001,0.6570,2
12,CAND_0028767,0.6570,2
13,CAND_0043866,0.6570,2
14,CAND_0045671,0.6570,2
15,CAND_0048169,0.6570,2
16,CAND_0019937,0.6480,3
17,CAND_0007215,0.6470,2
18,CAND_0003906,0.6420,2
19,CAND_0004281,0.6420,2
20,CAND_0019493,0.6420,2
21,CAND_0029775,0.6420,2
22,CAND_0042622,0.6420,2
23,CAND_0045459,0.6420,2
24,CAND_0027904,0.6370,2
25,CAND_0048368,0.6370,2
26,CAND_0037851,0.6370,2
27,CAND_0040757,0.6370,2
28,CAND_0048600,0.6360,1
29,CAND_0018111,0.6320,2
30,CAND_0021542,0.6320,2
31,CAND_0027963,0.6320,2
32,CAND_0031144,0.6320,2
33,CAND_0031595,0.6320,2
34,CAND_0048511,0.6320,2
35,CAND_0032312,0.6310,1
36,CAND_0004671,0.6280,3
37,CAND_0012790,0.6280,3
38,CAND_0021074,0.6280,3
39,CAND_0029918,0.6280,3
40,CAND_0043865,0.6280,3
41,CAND_0000560,0.6270,2
42,CAND_0002189,0.6270,2
43,CAND_0007990,0.6270,2
44,CAND_0013062,0.6270,2
45,CAND_0014005,0.6270,2
46,CAND_0018518,0.6270,2
47,CAND_0024664,0.6270,2
48,CAND_0032122,0.6270,2
49,CAND_0037666,0.6270,2
50,CAND_0039354,0.6270,2
