Rank,Candidate ID,Score,Skill Coverage
1,CAND_0006384,0.7400,4
2,CAND_0015972,0.7250,3
3,CAND_0014136,0.7100,3
4,CAND_0048374,0.7100,3
5,CAND_0000688,0.7000,4
6,CAND_0013763,0.7000,3
7,CAND_0018632,0.7000,3
8,CAND_0045607,0.7000,4
9,CAND_0002827,0.6950,3
10,CAND_0004257,0.6950,3
11,CAND_0004692,0.6950,3
12,CAND_0006401,0.6950,3
13,CAND_0015103,0.6950,3
14,CAND_0017193,0.6950,3
15,CAND_0026462,0.6950,3
16,CAND_0032312,0.6950,3
17,CAND_0049367,0.6950,3
18,CAND_0032853,0.6900,3
19,CAND_0013782,0.6850,3
20,CAND_0014997,0.6850,3
21,CAND_0017385,0.6850,3
22,CAND_0021330,0.6850,3
23,CAND_0021575,0.6850,3
24,CAND_0034241,0.6850,3
25,CAND_0043105,0.6850,3
26,CAND_0001291,0.6800,3
27,CAND_0008666,0.6800,3
28,CAND_0011320,0.6800,3
29,CAND_0022891,0.6800,3
30,CAND_0028975,0.6800,4
31,CAND_0033970,0.6800,3
32,CAND_0038638,0.6800,3
33,CAND_0045606,0.6800,3
34,CAND_0047265,0.6800,3
35,CAND_0047698,0.6800,3
36,CAND_0010848,0.6750,3
37,CAND_0012209,0.6750,3
38,CAND_0043565,0.6750,3
39,CAND_0010911,0.6700,3
40,CAND_0012996,0.6700,3
41,CAND_0013664,0.6700,3
42,CAND_0022825,0.6700,3
43,CAND_0026087,0.6700,3
44,CAND_0026773,0.6700,3
45,CAND_0032382,0.6700,3
46,CAND_0032714,0.6700,3
47,CAND_0034059,0.6700,3
48,CAND_0037640,0.6700,3
49,CAND_0039808,0.6700,3
50,CAND_0046478,0.6700,3
