Rank,Candidate ID,Score,Skill Coverage
1,CAND_0020708,0.6850,2
2,CAND_0036484,0.6850,2
3,CAND_0007391,0.6800,2
4,CAND_0011923,0.6800,2
5,CAND_0016268,0.6800,2
6,CAND_0048509,0.6800,2
7,CAND_0007596,0.6750,2
8,CAND_0047787,0.6750,2
9,CAND_0014440,0.6650,2
10,CAND_0018722,0.6650,2
11,CAND_0024549,0.6650,2
12,CAND_0033749,0.6650,2
13,CAND_0010257,0.6600,3
14,CAND_0048219,0.6600,2
15,CAND_0014743,0.6550,2
16,CAND_0043936,0.6550,2
17,CAND_0011967,0.6450,2
18,CAND_0017075,0.6450,2
19,CAND_0046526,0.6450,2
20,CAND_0020726,0.6400,2
21,CAND_0022852,0.6400,2
22,CAND_0026046,0.6400,2
23,CAND_0033861,0.6400,2
24,CAND_0021442,0.6400,2
25,CAND_0023301,0.6300,2
26,CAND_0005322,0.6250,2
27,CAND_0005538,0.6250,1
28,CAND_0009398,0.6250,2
29,CAND_0014063,0.6250,1
30,CAND_0015581,0.6250,1
31,CAND_0039983,0.6250,1
32,CAND_0041669,0.6250,1
33,CAND_0002025,0.6200,2
34,CAND_0048112,0.6200,2
35,CAND_0000600,0.6150,1
36,CAND_0002612,0.6150,1
37,CAND_0003791,0.6150,1
38,CAND_0010541,0.6150,1
39,CAND_0011263,0.6150,2
40,CAND_0025335,0.6150,2
41,CAND_0026096,0.6150,1
42,CAND_0030348,0.6150,1
43,CAND_0035879,0.6150,1
44,CAND_0042596,0.6150,2
45,CAND_0043676,0.6150,1
46,CAND_0008873,0.6100,2
47,CAND_0011360,0.6100,1
48,CAND_0030207,0.6100,1
49,CAND_0040677,0.6100,2
50,CAND_0040707,0.6100,2
